country,year,voter_turnout,population_millions,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,corruption_index,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting
BE,1979,91.36,,11810.6158754725,,1,21,,74.322408522204,33.8,1,1
DE,1979,65.73,,11322.3543443813,,0,21,,79.9010417614138,36.7,0,1
DK,1979,47.82,,13757.2343740839,,0,6,,83.5415443450597,33.8,0,1
FR,1979,60.71,,11062.5731730373,,0,21,,73.2106388615716,,0,1
IE,1979,63.61,,5429.96200087479,,0,6,,55.1962073982082,26.5,0,0
IT,1979,85.65,,7006.39699054556,,0,21,,66.7446863920592,33.7,0,1
LU,1979,88.91,,15204.3308191994,,1,21,,79.9876179763701,35.1,1,1
NL,1979,58.12,,12817.3790153401,,0,21,,64.8118155336277,30.8,0,0
BE,1984,92.09,,8846.23429846974,,1,26,,75.9032404323239,34.7,1,1
DE,1984,56.76,,9900.48559233526,,0,26,,79.956268664942,37.1,0,1
DK,1984,52.38,,11796.5691955784,,0,11,,84.2721445979129,35.3,0,1
EL,1984,80.59,,4950.06026518761,,1,3,,70.2569459488594,34.7,1,1
FR,1984,56.72,,9862.28449386586,,0,26,,73.4180335490284,,0,1
IE,1984,47.56,,5915.24177164341,,0,11,,56.0017381748838,26.7,0,0
IT,1984,82.47,,7850.62789042275,,0,26,,66.8849239308828,34.8,0,1
LU,1984,88.79,,12374.0304234408,,1,26,,80.6002239770629,35.3,1,1
NL,1984,50.88,,,,0,26,,66.9212225491404,32.2,0,0
BE,1989,90.73,,16391.093827791,,1,31,,77.8144345775361,35.7,1,1
DE,1989,62.28,,17996.9783507619,,0,31,,79.9999740753505,38.2,0,1
DK,1989,46.17,,22524.5792595476,,0,16,,84.8071769133325,36.6,0,1
EL,1989,80.03,,7492.35204811251,,1,8,,71.191002741708,35.5,1,1
ES,1989,54.71,,9696.1928538538,,0,3,,74.3709231199409,32.6,0,1
FR,1989,48.8,,17549.6440487161,,0,31,,73.8329418235332,,0,1
IE,1989,68.28,,10715.8702780539,,0,16,,56.6660711580872,28.1,0,0
IT,1989,81.07,,15780.9495122174,,0,31,,66.7512501282587,36.3,0,1
LU,1989,87.39,,25219.3542781732,,1,31,,80.7996431570829,36.2,1,1
NL,1989,47.48,,17770.6162376388,,0,31,,68.4297717390978,33.8,0,0
PT,1989,51.1,,5623.69699982123,,0,3,,46.4649972272877,32.7,1,1
BE,1994,90.66,,22283.9360213551,,1,36,,79.6385319631731,36.8,1,1
DE,1994,60.02,,25616.6508772405,,0,36,,80.0325583093694,37.8,0,1
DK,1994,52.92,,27581.7241097459,,0,21,,84.9196035564477,37.4,0,1
EL,1994,73.18,,10257.3085789073,,1,13,,71.8845576676716,36.6,1,1
ES,1994,59.14,,13330.3798192211,,0,8,,75.3443453546763,34.4,0,1
FR,1994,52.71,,22238.8250618434,,0,36,,74.6168782336776,35.3,0,1
IE,1994,43.98,,14657.0615549805,,0,21,,57.4647494894716,30.1,0,0
IT,1994,73.6,,18781.9529427137,,0,36,,66.7268353013949,37.9,0,1
LU,1994,88.55,,40066.7242518773,,1,36,,81.4647504350596,36.5,1,1
NL,1994,35.69,,23156.4404444568,,0,36,,69.7586743487312,35.2,0,0
PT,1994,35.54,,9534.6563637308,,0,8,,49.6589521380037,35.2,1,1
AT,1999,49.4,,27212.4642905708,,0,4,,66.5106754931446,37.2,0,1
BE,1999,91.05,,25338.4432934904,,1,41,,81.3594119449727,38.2,1,1
DE,1999,45.19,,27395.9440608051,,0,41,,80.0722584625357,39.1,0,1
DK,1999,50.46,,33346.4884298957,,0,26,,85.0920806648854,37.9,0,1
EL,1999,70.25,,13022.9648774809,,1,18,,72.3911938989336,37.9,1,1
ES,1999,63.05,,15382.3348573373,,0,13,,75.9145056905294,36.4,0,1
FI,1999,30.14,,25999.9861694953,,0,4,,66.1787142075127,38.6,0,1
FR,1999,46.76,,24869.4030795939,,0,41,,75.8918556090764,36.8,0,1
IE,1999,50.21,,24294.8547674007,,0,26,,58.6407683900153,31.8,0,0
IT,1999,69.76,,22365.1837644545,,0,41,,67.0286199053679,39.4,0,1
LU,1999,87.27,,47445.3810812051,,1,41,,,37.1,1,1
NL,1999,30.02,,27924.281808994,,0,41,,76.75231877333,36.7,0,0
PT,1999,39.93,,12199.206385024,,0,13,,53.063097347651,36.9,1,1
SE,1999,38.84,,30605.3669074811,,0,4,,83.9840819295031,38.9,0,1
AT,2004,42.43,,32110.1159661425,,0,9,,66.9263574955092,39.1,0,1
BE,2004,90.81,,30655.2092679024,,1,46,,82.9609538786731,39.6,1,1
CY,2004,72.5,,20252.24609375,,0,0,,68.7120973207373,34.5,1,1
CZ,2004,28.3,,9852.45677945801,,0,0,,73.7649150201353,38.3,1,0
DE,2004,43.0,,30711.1022511331,,0,46,,80.1373116303862,40.9,0,1
DK,2004,47.89,,40519.0974905924,,0,31,,85.4199981689453,38.8,0,1
EE,2004,26.83,,7205.40703313243,,0,0,,67.4341760348669,38.7,1,1
EL,2004,63.22,,18020.612039764,,1,23,,73.432268024093,38.6,1,1
ES,2004,45.14,,21522.0170990262,,0,18,,76.709335590859,38.1,0,1
FI,2004,39.43,,,,0,9,,68.0425549126858,40.1,0,1
FR,2004,42.76,,29479.5222101175,8.5,0,46,,77.4691216035138,38.1,0,1
HU,2004,38.5,,8410.09248198479,,0,0,,64.8452987670898,38.8,1,1
IE,2004,58.58,,41203.5295847568,,0,31,,59.9120142632573,33.0,0,0
IT,2004,71.72,,27577.5700319855,,0,46,,67.4299414611787,41.1,0,1
LT,2004,48.38,,5507.47434187652,,0,0,,66.7596664428711,37.2,1,1
LU,2004,91.35,,65689.3214536911,,1,46,,85.5906295073034,37.7,1,1
LV,2004,41.34,,4914.57992829302,,0,0,,67.9493840506358,38.8,1,0
MT,2004,82.39,,,,0,0,,93.5241031580205,37.4,1,0
NL,2004,39.26,,,,0,46,,81.3011308878582,38.2,0,0
PL,2004,20.87,,5720.81366178104,,0,0,,61.7281374379602,35.9,1,1
PT,2004,38.6,,15797.7821340276,,0,18,,56.5865509520713,38.5,1,1
SE,2004,37.85,,37292.2419727801,,0,9,,84.1954289653543,39.7,0,1
SI,2004,28.35,,,,0,0,,50.7553842628349,39.0,1,1
SK,2004,16.97,,8675.39633696465,,0,0,,55.7386007222942,34.7,1,0
AT,2009,45.97,,51581.3982361071,,0,14,,67.0435560819078,40.9,0,1
BE,2009,90.39,,48303.397956286,,1,51,,84.427037120012,40.7,1,1
BG,2009,38.99,,7271.30338858025,,1,2,,70.902099609375,41.9,1,1
CY,2009,59.4,,35397.296875,,0,5,,67.8666261318649,35.4,1,1
CZ,2009,28.22,,22774.7045076205,,0,5,,73.4655517409377,39.3,1,0
DE,2009,43.27,,46379.1647953479,,0,51,,80.2459549084581,43.2,0,1
DK,2009,59.54,,64616.6657583663,,0,36,,86.583137512207,40.2,0,1
EE,2009,43.9,,18205.9064113446,,0,5,,67.6696980194394,39.8,1,1
EL,2009,52.54,,31695.8331092209,,1,28,,75.615079456679,40.3,1,1
ES,2009,44.87,,35603.248328071,,0,23,,78.0421438998777,39.2,0,1
FI,2009,38.6,,53769.4726240385,,0,14,,69.2943672196361,41.5,0,1
FR,2009,40.63,,,7.4,0,51,,77.1561901569367,39.3,0,1
HU,2009,36.31,,15762.6322515113,,0,5,,68.0976986078883,39.4,1,1
IE,2009,58.64,,61353.1065629523,,0,36,,61.3581903884996,33.4,0,0
IT,2009,66.47,,40828.5795580937,,0,51,,67.9071958431441,42.6,0,1
LT,2009,20.98,,14955.5345462921,,0,5,,,39.6,1,1
LU,2009,90.76,,120422.137934157,,1,51,,87.6037664162874,38.6,1,1
LV,2009,53.7,,15677.6080864506,,0,5,,67.8420335208058,39.9,1,0
MT,2009,78.79,,22315.3104212988,,0,5,,94.0294765354989,39.3,1,0
NL,2009,36.75,,58246.7026905874,,0,51,,85.6149582464487,40.0,0,0
PL,2009,24.53,,14048.5604672654,,0,5,,61.1258760375274,37.3,1,1
PT,2009,36.77,,24949.0413566739,,0,23,,60.3510029424595,40.4,1,1
