country,year,voter_turnout,population,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting,national_turnout
BE,1979,91.36,9848382,11810.6158754725,6.9595,1,21,74.322408522204,33.8,1,1,94.87
DE,1979,65.73,78126350,11322.3543443813,6.9595,0,21,79.9010417614138,36.7,0,1,90.75
DK,1979,47.82,5116801,13757.2343740839,6.9595,0,6,83.5415443450597,33.8,0,1,85.62
FR,1979,60.71,54979851,11062.5731730373,6.9595,0,21,73.2106388615716,39.6,0,1,84.86
IE,1979,63.61,3373750,5429.96200087479,6.9595,0,6,55.1962073982082,26.5,0,0,76.31
IT,1979,85.65,56317749,7006.39699054556,6.9595,0,21,66.7446863920592,33.7,0,1,90.35
LU,1979,88.91,362856,15204.3308191994,6.9595,1,21,79.9876179763701,35.1,1,1,88.85
NL,1979,58.12,14038270,12817.3790153401,6.9595,0,21,64.8118155336277,30.8,0,0,88.0
BE,1984,92.09,9855520,8846.23429846974,6.9595,1,26,75.9032404323239,34.7,1,1,94.56
DE,1984,56.76,78128282,9900.48559233526,6.9595,0,26,79.956268664942,37.1,0,1,89.09
DK,1984,52.38,5114297,11796.5691955784,6.9595,0,11,84.2721445979129,35.3,0,1,88.44
EL,1984,80.59,9846627,4950.06026518761,6.9595,1,3,70.2569459488594,34.7,1,1,71.76
FR,1984,56.72,56108330,9862.28449386586,6.9595,0,26,73.4180335490284,39.6,0,1,74.45
IE,1984,47.56,3510600,5915.24177164341,6.9595,0,11,56.0017381748838,26.7,0,0,72.86
IT,1984,82.47,56564074,7850.62789042275,6.9595,0,26,66.8849239308828,34.8,0,1,89.02
LU,1984,88.79,365622,12374.0304234408,6.9595,1,26,80.6002239770629,35.3,1,1,88.81
NL,1984,50.88,14367070,10696.0774958682,6.9595,0,26,66.9212225491404,32.2,0,0,80.98
BE,1989,90.73,9901664,16391.093827791,6.9595,1,31,77.8144345775361,35.7,1,1,93.38
DE,1989,62.28,78144619,17996.9783507619,6.9595,0,31,79.9999740753505,38.2,0,1,84.33
DK,1989,46.17,5129516,22524.5792595476,6.9595,0,16,84.8071769133325,36.6,0,1,85.7
EL,1989,80.03,10036983,7492.35204811251,6.9595,1,8,71.191002741708,35.5,1,1,71.76
ES,1989,54.71,38766939,9696.1928538538,6.9595,0,3,74.3709231199409,32.6,0,1,70.01
FR,1989,48.8,57598186,17549.6440487161,6.9595,0,31,73.8329418235332,39.6,0,1,65.74
IE,1989,68.28,3524949,10715.8702780539,6.9595,0,16,56.6660711580872,28.1,0,0,68.51
IT,1989,81.07,56629288,15780.9495122174,6.9595,0,31,66.7512501282587,36.3,0,1,88.86
LU,1989,87.39,373450,25219.3542781732,6.9595,1,31,80.7996431570829,36.2,1,1,87.39
NL,1989,47.48,14760094,17770.6162376388,6.9595,0,31,68.4297717390978,33.8,0,0,80.27
PT,1989,51.1,10019610,5623.69699982123,6.9595,0,3,46.4649972272877,32.7,1,1,72.64
BE,1994,90.66,10084475,22283.9360213551,8.078,1,36,79.6385319631731,36.8,1,1,92.71
DE,1994,60.02,81156363,25616.6508772405,7.675,0,36,80.0325583093694,37.8,0,1,78.97
DK,1994,52.92,5188628,27581.7241097459,10.719,0,21,84.9196035564477,37.4,0,1,84.25
EL,1994,73.18,10460415,10257.3085789073,10.177,1,13,71.8845576676716,36.6,1,1,71.76
